"Nombre del Producto","Código Interno/SKU","Categoría (nombre)","Categoría MEGASTOCK","Precio de Venta","Costo","Largo (cm)","Ancho (cm)","Alto (cm)","Ceja (cm)","Flauta (C/B/E)","Test (200/250/275/300)","KL (32/44)","Material (kraft/interstock/monus/westrock)","Colores Impresión (0/1/2/3/4)","Gramaje (90/125/150/175/200)","Tipo de Caja (tapa_fondo/jumbo/exportacion/americana)","Unidad de Medida","Unidad de Compra","Descripción","Código de Barras","Peso (kg)","Volumen (m³)","Activo (Verdadero/Falso)","Se puede vender","Se puede comprar"
"Caja Corrugada Americana 40x30x20","CAJ-40x30x20-C-275","CAJAS","cajas","2.50","1.80","40.0","30.0","20.0","2.0","c","275","32","kraft","0","125","americana","Unidades","Unidades","Caja de cartón corrugado flauta C para embalaje general","7501234567890","0.50","0.024","Verdadero","Verdadero","Verdadero"
"Caja Tapa y Fondo 50x40x30","CAJ-50x40x30-B-300","CAJAS","cajas","4.20","3.10","50.0","40.0","30.0","3.0","b","300","44","interstock","1","150","tapa_fondo","Unidades","Unidades","Caja con tapa y fondo separados para productos delicados","7501234567891","0.80","0.060","Verdadero","Verdadero","Verdadero"
"Caja Jumbo 80x60x40","CAJ-80x60x40-C-275","CAJAS","cajas","8.50","6.20","80.0","60.0","40.0","4.0","c","275","32","kraft","2","175","jumbo","Unidades","Unidades","Caja jumbo para productos voluminosos","7501234567892","1.20","0.192","Verdadero","Verdadero","Verdadero"
"Lámina Corrugada 100x70 Impresa","LAM-100x70-B-200","LÁMINAS","laminas","5.00","3.50","100.0","70.0","","0.0","b","200","","interstock","2","150","","Hojas","Hojas","Lámina de cartón corrugado B para impresión 2 colores","7501234567893","0.80","0.000","Verdadero","Verdadero","Verdadero"
"Lámina Lisa 120x80","LAM-120x80-C-250","LÁMINAS","laminas","6.50","4.80","120.0","80.0","","0.0","c","250","","kraft","4","125","","Hojas","Hojas","Lámina corrugada para impresión full color CMYK","7501234567894","1.10","0.000","Verdadero","Verdadero","Verdadero"
"Papel Periódico 45g Standard","PAP-PERIODICO-45","PAPEL PERIÓDICO","papel","1.20","0.90","0.0","0.0","0.0","0.0","","","","","1","90","","Kg","Kg","Papel periódico 45g/m² para relleno y embalaje","7501234567895","1.00","0.000","Verdadero","Verdadero","Verdadero"
"Papel Periódico 60g Premium","PAP-PERIODICO-60","PAPEL PERIÓDICO","papel","1.50","1.10","0.0","0.0","0.0","0.0","","","","","2","125","","Kg","Kg","Papel periódico premium 60g/m² para impresión","7501234567896","1.00","0.000","Verdadero","Verdadero","Verdadero"
"Plancha Corrugada Kraft 120x80","PLA-KRAFT-C-300","PLANCHAS","planchas","8.00","6.00","120.0","80.0","0.0","0.0","c","300","","kraft","0","175","","m²","m²","Plancha de cartón kraft para troqueles y displays","7501234567897","2.50","0.000","Verdadero","Verdadero","Verdadero"
"Plancha Microcanal 100x70","PLA-MICRO-E-200","PLANCHAS","planchas","6.20","4.50","100.0","70.0","0.0","0.0","e","200","","monus","1","200","","m²","m²","Plancha microcanal para trabajos finos","7501234567898","1.80","0.000","Verdadero","Verdadero","Verdadero"
"Separador Cartón Simple 20x15","SEP-SIMPLE-20x15","SEPARADORES","separadores","0.35","0.25","20.0","15.0","0.0","0.0","e","","32","monus","0","175","","Unidades","Unidades","Separador interno para cajas pequeñas","7501234567899","0.10","0.000","Verdadero","Verdadero","Verdadero"
"Separador Reforzado 30x25","SEP-REF-30x25","SEPARADORES","separadores","0.65","0.45","30.0","25.0","0.0","0.0","c","","44","kraft","0","200","","Unidades","Unidades","Separador reforzado para productos pesados","7501234567900","0.20","0.000","Verdadero","Verdadero","Verdadero"
"Adhesivo PVA Industrial 25kg","MAT-ADHESIVO-PVA-25","MATERIAS PRIMAS","materias_primas","25.00","18.00","0.0","0.0","0.0","0.0","","","44","westrock","","","","Kg","Kg","Adhesivo PVA para proceso de corrugado industrial","7501234567901","25.00","0.025","Verdadero","Verdadero","Verdadero"
"Almidón Modificado 50kg","MAT-ALMIDON-50","MATERIAS PRIMAS","materias_primas","45.00","32.00","0.0","0.0","0.0","0.0","","","32","kraft","","","","Kg","Kg","Almidón modificado para adhesivos ecológicos","7501234567902","50.00","0.040","Verdadero","Verdadero","Verdadero"